ID,duration,views,appreciations,comments,ownerDuration,ownerFollowers,ownerViews,ownerAppreciations,R,G,B,alt,V
756,685,65,3,1,906,17,944,35,46,46,45,111,107.2153
449,806,88,8,1,808,10,379,26,37,37,33,111,93.97630000000001
763,393,89,3,0,2462,241,10501,575,42,41,43,111,493.79780000000005
493,756,101,7,1,1533,22,1076,37,43,41,40,111,143.9318
426,609,111,9,0,628,25,1369,71,33,33,33,111,110.8576
633,1714,112,4,0,1734,23,2335,145,30,33,36,111,243.1603
530,1411,146,6,0,2603,56,6876,171,26,27,29,111,400.1722
360,1130,159,11,0,2077,100,3280,211,42,41,40,111,272.55730000000005
238,126,257,25,2,144,74,2538,173,45,44,49,111,125.2618
290,873,258,17,0,1380,28,631,45,33,33,34,111,142.3571
482,1185,272,7,0,1458,33,683,28,49,48,46,111,160.5428
284,377,274,18,0,1376,10,307,19,24,25,26,111,105.7499
367,2419,301,11,0,2598,27,1243,55,38,45,47,111,288.3474
277,1578,548,18,0,1714,1358,92430,3327,20,19,19,111,3194.0168
166,1477,578,45,2,2196,57,4580,150,39,41,39,111,352.8906
198,1606,625,33,0,1630,52,2905,143,35,45,45,111,286.92859999999996
405,2073,654,9,0,2079,41,3823,77,45,42,38,111,345.2441
95,596,754,108,2,2338,619,17198,1201,36,36,36,111,834.8276999999999
154,483,1000,52,1,504,2783,140721,12021,34,37,31,111,5315.0579
129,788,1027,72,5,2212,313,13296,877,20,19,35,111,681.1716
333,1979,1032,12,3,2008,165,14121,480,39,39,39,111,695.9781
117,2021,1170,80,2,2222,187,5363,338,35,37,43,111,471.3678
142,1887,1824,63,4,2068,76,2898,110,24,23,24,111,393.8261
92,920,1988,114,3,1521,1240,32192,2429,43,43,43,111,1472.8268
40,370,2087,298,11,1006,192,4041,441,36,37,37,111,407.7967
74,2137,2109,139,11,2432,739,15042,1327,20,18,18,111,962.8287
52,639,2573,236,5,2061,1223,41498,2651,44,46,47,111,1816.3239999999998
149,2663,2974,54,3,3031,671,73420,2603,44,45,35,111,2781.5576
27,634,6129,421,14,2061,1223,41498,2651,36,39,40,111,2055.6625999999997
20,2125,6666,587,18,2125,1675,97787,5607,42,44,44,111,4061.7571
8,836,8036,1123,53,1428,2205,53924,4688,30,33,40,111,2911.0820000000003
6,875,11886,1224,78,2372,4005,134419,10778,22,24,22,111,6136.869200000001
2,1004,21869,2176,50,1605,1285,31640,3120,41,41,41,111,3055.9157999999998
412,1657,148,9,1,2096,20,1053,102,28,65,113,123,218.9666
515,1729,160,6,1,2849,14,2304,66,46,61,113,123,285.70189999999997
374,2023,216,10,0,2023,107,4439,273,49,60,115,123,355.64189999999996
352,1815,232,11,0,2430,156,11057,522,29,73,118,123,574.6677
211,1602,449,30,2,1603,100,13544,1020,50,81,101,123,649.7141
350,2151,458,11,0,2152,7,505,11,29,51,116,123,239.1064
146,1980,518,56,1,2272,367,6960,953,50,98,150,123,541.8878
507,2099,615,6,0,2391,19,1922,27,50,91,137,123,296.8549
595,940,78,5,1,1515,10,814,74,47,150,226,135,144.8126
329,698,137,13,0,700,22,876,64,42,148,216,135,105.68740000000001
126,1949,1177,73,3,2979,52,2899,91,32,148,200,135,395.6331
372,159,95,11,0,650,11,272,26,52,24,24,211,53.1214
242,1714,225,24,4,1718,60,3151,299,55,45,42,211,293.4344
273,1118,370,19,1,1316,51,2732,119,55,47,47,211,226.401
53,2273,3601,236,2,2295,166,5593,395,62,35,35,211,662.1286
452,501,76,8,0,2845,157,2613,293,57,57,52,222,261.8221
373,6,83,11,3,880,101,3042,288,86,86,85,222,163.952
569,1708,92,5,0,1708,6,746,46,53,53,54,222,186.4912
664,887,94,4,0,1243,18,1153,34,70,70,69,222,138.45440000000002
252,557,231,23,0,564,30,589,55,53,53,51,222,92.3353
214,2120,1299,29,0,2276,106,6856,178,54,53,53,222,496.21999999999997
26,2213,6170,452,18,2496,521,24786,1260,51,52,55,222,1506.9995999999999
285,325,170,18,2,325,48,7873,714,60,137,198,234,326.3488
144,1229,745,62,2,2245,541,19445,1294,58,188,239,245,915.3356999999999
586,1261,55,5,0,1268,19,2537,184,124,39,38,311,206.7844
336,1758,154,12,0,1775,9,531,32,114,42,43,311,189.71699999999998
130,331,680,71,4,3910,4210,158011,11739,115,32,32,311,6052.740500000001
140,2023,983,64,1,2557,2463,155706,8668,122,35,42,311,5603.909000000001
82,647,1038,131,6,3029,1962,52689,5855,126,46,46,311,2395.4696000000004
73,454,1101,146,7,2940,514,14205,983,118,21,24,311,769.2287
17,1321,5907,654,37,3029,1962,52689,5855,122,44,44,311,2816.1467000000002
3,2364,45675,1972,69,3708,1524,68763,3302,113,15,15,311,5609.3742999999995
234,873,291,25,2,1398,28,436,44,146,55,53,322,141.8027
197,1933,716,33,0,1949,39,2034,73,122,52,51,322,290.00509999999997
553,475,132,6,0,2481,1799,59984,4205,104,104,104,333,2346.2115
471,1824,143,7,0,1878,75,3892,274,137,137,137,333,316.38710000000003
562,1970,143,5,0,2140,80,2744,66,117,128,133,333,285.97119999999995
413,1530,164,9,4,1537,26,1618,107,138,134,125,333,208.72390000000001
476,1594,274,7,0,2856,197,13094,399,118,118,118,333,635.2390999999999
467,1943,417,7,0,2521,7,679,8,126,123,121,333,245.7693
194,1698,470,34,0,1733,76,4052,263,120,120,121,333,331.4615
159,1785,758,50,3,1792,1577,51372,3822,123,131,133,333,2130.8141
51,865,1018,237,1,1998,579,40377,7756,114,114,114,333,2034.8035
62,1293,2184,178,9,1497,501,9849,793,124,124,124,333,679.6622000000001
72,2415,2712,147,7,2416,745,21106,1287,125,129,150,333,1178.0995000000003
22,1917,5272,535,27,2349,4109,151351,10814,119,124,138,333,6152.3504
649,1294,119,4,0,2167,18,1193,35,118,178,200,344,199.4817
15,980,5898,749,24,2408,3476,107052,8455,137,221,213,355,4682.1364
751,748,67,3,0,1541,7,120,3,199,44,53,412,109.535
380,1706,222,10,0,1804,110,8140,453,151,20,98,412,450.02619999999996
97,1881,1153,105,0,2391,106,2951,200,198,37,51,412,386.93879999999996
286,2152,1357,17,0,2152,59,5537,183,192,149,41,431,451.8632999999999
14,1736,9894,786,33,2324,851,27399,2239,196,146,26,431,1941.532
416,1478,109,9,0,1482,43,1417,145,184,184,184,444,198.0777
440,1319,344,8,1,1575,56,3204,125,175,175,175,444,257.8235
441,1311,214,8,0,2413,118,7562,218,200,211,108,453,421.1692
302,1342,313,15,0,1580,48,2183,66,192,209,133,453,224.03339999999997
341,1266,286,12,0,1715,49,2277,111,241,43,52,512,230.0752
123,333,544,77,5,1913,79,4386,267,209,65,151,524,296.244
288,1530,199,17,0,1747,20,1153,52,208,106,50,531,201.0691
409,1708,211,9,1,1778,52,2235,146,218,108,30,531,252.0055
442,1207,359,8,0,2356,119,22191,596,209,137,29,531,864.058
107,866,707,92,2,1862,176,7388,466,222,124,50,531,441.58860000000004
100,2109,1608,97,1,2817,206,7266,329,207,124,46,531,582.8403
551,673,93,6,1,1714,21,981,47,207,192,123,543,144.7081
260,210,165,22,0,270,45,1214,150,224,200,121,543,85.76129999999999
185,357,689,39,4,1257,47,1636,136,231,200,122,543,179.55849999999998
448,2484,1010,8,0,2979,52,2899,91,206,150,120,543,398.95090000000005
18,2074,5817,640,30,2581,974,24823,1649,226,151,122,543,1604.2393000000002
764,481,54,3,0,514,20,763,39,204,205,207,555,75.3453
454,381,94,8,2,1316,51,2732,119,208,210,216,555,172.8728
689,289,107,4,0,735,17,1683,74,229,229,229,555,106.59209999999999
478,1470,156,7,0,2591,22,1680,130,224,224,222,555,249.99509999999998
531,1399,167,6,0,1399,9,759,33,230,221,213,555,162.5213
600,2483,189,5,0,2904,19,2306,36,228,217,214,555,324.3928
177,336,209,42,3,1920,118,5068,606,236,239,239,555,320.1509
265,291,210,21,3,1656,38,2761,125,217,216,216,555,191.9042
241,1733,248,24,0,2254,96,3041,179,224,223,223,555,307.4407
385,1567,250,10,2,2498,141,11729,363,212,212,212,555,571.9172
231,1569,266,25,2,1987,59,3169,326,212,216,213,555,301.56109999999995
257,1397,327,22,0,1972,1092,31381,2687,206,205,206,555,1384.2397
280,1260,330,18,1,1355,30,1217,75,208,205,210,555,184.1832
233,1157,337,25,0,1555,41,1399,101,221,221,221,555,197.00449999999998
428,2368,418,9,0,2470,25,4835,66,216,218,222,555,388.6843
145,273,487,60,2,1125,724,16120,1838,219,219,219,555,774.9878000000001
173,1198,633,43,1,2424,628,14690,1399,203,203,203,555,794.2275000000001
134,401,650,68,3,2599,492,14981,947,217,214,214,555,727.2145
121,1399,689,77,2,1399,16,689,77,225,225,225,555,208.4932
226,1946,726,26,0,1946,88,5147,201,240,240,231,555,392.7576
150,2381,785,53,1,2396,114,4449,135,232,230,230,555,419.67379999999997
114,460,786,83,3,1224,1446,39603,2708,233,233,234,555,1616.8360999999998
122,867,874,77,3,2032,808,27029,2487,229,230,231,555,1234.7016
93,679,877,113,8,1999,649,16459,1424,225,226,226,555,835.2229
155,2054,884,51,0,2656,201,4223,190,241,241,241,555,426.2555
58,140,1276,207,7,2440,445,10364,1239,217,217,213,555,658.7796000000001
91,2609,1325,114,5,2621,104,1325,114,218,218,220,555,393.24190000000004
89,295,1645,120,0,1710,1306,45319,3492,209,208,211,555,1890.6032999999998
31,1085,1683,357,1,1998,579,40377,7756,220,220,229,555,2105.8355
43,1607,3023,284,8,1608,160,6363,525,235,228,220,555,611.2083
19,1896,8110,618,3,1897,946,32279,2591,243,242,243,555,1961.0127999999997
7,411,8848,1144,46,1848,1521,40113,4179,217,224,224,555,2452.3197999999998
5,1970,18373,1259,28,2254,2516,65290,4929,209,216,220,555,3971.06
